phone_number,source_channel,budget_range,conversion_probability,segment
7741647956,referral,60L-90L,0.0095,cold
7938231043,direct,>1.5Cr,0.0042,cold
6378758547,organic_search,60L-90L,0.2913,cold
6812369029,paid_search,90L-1.5Cr,0.0236,cold
6737987789,referral,90L-1.5Cr,0.0068,cold
9266867393,paid_search,90L-1.5Cr,0.857,hot
7222314768,organic_search,60L-90L,0.0257,cold
8679507127,referral,>1.5Cr,0.0031,cold
9375696691,organic_search,60L-90L,0.0077,cold
8185648945,paid_search,30L-60L,0.0018,cold
8382478638,social_media,60L-90L,0.0099,cold
9626041126,referral,<30L,0.0091,cold
6873211209,social_media,30L-60L,0.0121,cold
6205212448,social_media,60L-90L,0.089,cold
6104940821,paid_search,30L-60L,0.0307,cold
8061187934,referral,60L-90L,0.0084,cold
9851030704,direct,60L-90L,0.0315,cold
6646041054,email_campaign,30L-60L,0.0162,cold
7278107959,direct,60L-90L,0.0299,cold
6165946193,social_media,60L-90L,0.7995,hot
9851932249,paid_search,90L-1.5Cr,0.0041,cold
6554666258,organic_search,60L-90L,0.0019,cold
8139110123,organic_search,30L-60L,0.0203,cold
9237920199,social_media,90L-1.5Cr,0.1438,cold
6957611504,paid_search,60L-90L,0.0074,cold
8629190068,referral,<30L,0.0002,cold
8582172441,social_media,30L-60L,0.0014,cold
9122717607,organic_search,60L-90L,0.0012,cold
6905647508,paid_search,<30L,0.6917,warm
6926750628,paid_search,30L-60L,0.0717,cold
6588547025,organic_search,60L-90L,0.0113,cold
9872303842,direct,60L-90L,0.9102,hot
8129190475,paid_search,>1.5Cr,0.0462,cold
6863025037,social_media,30L-60L,0.1299,cold
6380205018,paid_search,60L-90L,0.002,cold
6588791990,organic_search,<30L,0.0084,cold
6678549443,direct,90L-1.5Cr,0.0046,cold
8334286000,referral,90L-1.5Cr,0.1956,cold
9030913373,organic_search,60L-90L,0.0125,cold
9452265197,direct,30L-60L,0.0169,cold
8816367167,direct,90L-1.5Cr,0.0876,cold
9555177531,organic_search,60L-90L,0.9931,hot
6047899143,referral,90L-1.5Cr,0.9883,hot
9222226435,paid_search,60L-90L,0.0004,cold
9664182891,organic_search,30L-60L,0.007,cold
9961393875,paid_search,>1.5Cr,0.0344,cold
7005729137,social_media,90L-1.5Cr,0.1585,cold
7684422822,paid_search,60L-90L,0.003,cold
7986206704,organic_search,30L-60L,0.1047,cold
9032175325,referral,30L-60L,0.3668,cold
6779315318,paid_search,90L-1.5Cr,0.9965,hot
9126136217,organic_search,30L-60L,0.002,cold
9692789849,email_campaign,<30L,0.0303,cold
7417339760,paid_search,60L-90L,0.0051,cold
9045372867,social_media,90L-1.5Cr,0.0007,cold
7220574096,referral,>1.5Cr,0.0642,cold
9987367649,organic_search,60L-90L,0.0019,cold
7423311719,organic_search,30L-60L,0.0187,cold
8068973260,referral,90L-1.5Cr,0.9946,hot
8362206361,referral,30L-60L,0.0259,cold
8781454546,organic_search,>1.5Cr,0.0194,cold
9933074824,social_media,30L-60L,0.0064,cold
6294573082,paid_search,60L-90L,0.0005,cold
6079227471,organic_search,60L-90L,0.0011,cold
6653259423,direct,90L-1.5Cr,0.0063,cold
6311983000,email_campaign,30L-60L,0.0075,cold
6319651587,paid_search,>1.5Cr,0.001,cold
9148367905,social_media,90L-1.5Cr,0.0026,cold
6856778916,social_media,60L-90L,0.0046,cold
8642942203,paid_search,90L-1.5Cr,0.0185,cold
6624226843,organic_search,>1.5Cr,0.0048,cold
8059916408,email_campaign,>1.5Cr,0.0105,cold
8520661482,organic_search,60L-90L,0.0026,cold
8400690134,organic_search,30L-60L,0.0046,cold
8550055378,referral,90L-1.5Cr,0.033,cold
8238453832,direct,60L-90L,0.0013,cold
6157210035,paid_search,60L-90L,0.2459,cold
8222368936,referral,90L-1.5Cr,0.006,cold
8807025762,referral,30L-60L,0.0046,cold
9519045132,social_media,30L-60L,0.081,cold
6645347491,organic_search,90L-1.5Cr,0.0009,cold
6151098406,referral,90L-1.5Cr,0.0033,cold
9370581499,paid_search,30L-60L,0.0005,cold
6840729915,direct,<30L,0.9281,hot
9610694749,social_media,30L-60L,0.0011,cold
6810577522,paid_search,90L-1.5Cr,0.0508,cold
9224414066,referral,60L-90L,0.0004,cold
6729911413,email_campaign,60L-90L,0.9983,hot
8245003576,direct,60L-90L,0.0009,cold
8209752750,social_media,<30L,0.0157,cold
9580334108,referral,>1.5Cr,0.0013,cold
8736145088,paid_search,>1.5Cr,0.0555,cold
7123498384,paid_search,60L-90L,0.003,cold
8162243962,social_media,60L-90L,0.2165,cold
7955347250,email_campaign,60L-90L,0.0163,cold
9595366028,direct,60L-90L,0.0011,cold
9662197877,social_media,30L-60L,0.0043,cold
8924757498,paid_search,30L-60L,0.0487,cold
6077170494,referral,30L-60L,0.3125,cold
7248276347,email_campaign,<30L,0.9527,hot
6737128931,social_media,30L-60L,0.9915,hot
7418170265,email_campaign,90L-1.5Cr,0.0035,cold
7794473291,email_campaign,<30L,0.0077,cold
6500799627,organic_search,30L-60L,0.0005,cold
7444797938,social_media,60L-90L,0.0576,cold
7492631791,email_campaign,60L-90L,0.0021,cold
9646662405,social_media,<30L,0.0059,cold
9846655831,social_media,90L-1.5Cr,0.0012,cold
6506347742,paid_search,30L-60L,0.0016,cold
8295457543,paid_search,60L-90L,0.0004,cold
8405954831,organic_search,60L-90L,0.0026,cold
6598964881,direct,30L-60L,0.9795,hot
8977081585,referral,>1.5Cr,0.0222,cold
6894278809,email_campaign,30L-60L,0.0009,cold
9684414731,social_media,60L-90L,0.0024,cold
7034811226,organic_search,>1.5Cr,0.0004,cold
6239489248,direct,30L-60L,0.9349,hot
6267885821,paid_search,30L-60L,0.1139,cold
8890283910,organic_search,>1.5Cr,0.0059,cold
9048384817,organic_search,60L-90L,0.0324,cold
6039788187,organic_search,30L-60L,0.0031,cold
8071579808,social_media,>1.5Cr,0.0683,cold
7387983627,referral,60L-90L,0.003,cold
7839189316,paid_search,60L-90L,0.0178,cold
7315447091,organic_search,60L-90L,0.006,cold
7335011934,direct,90L-1.5Cr,0.6674,warm
9479140460,direct,60L-90L,0.0157,cold
7730606841,social_media,60L-90L,0.0254,cold
7432640302,referral,90L-1.5Cr,0.0293,cold
8584838030,social_media,60L-90L,0.9955,hot
8328544181,direct,90L-1.5Cr,0.0272,cold
6354669490,social_media,30L-60L,0.0106,cold
8156777750,organic_search,60L-90L,0.0014,cold
9129074478,email_campaign,30L-60L,0.0038,cold
8791046136,direct,60L-90L,0.037,cold
7768348810,direct,90L-1.5Cr,0.9904,hot
8993589368,paid_search,30L-60L,0.0178,cold
7036892344,social_media,90L-1.5Cr,0.0029,cold
8737365907,social_media,30L-60L,0.3043,cold
9497995117,direct,30L-60L,0.003,cold
8788445722,organic_search,60L-90L,0.0073,cold
7996665388,organic_search,90L-1.5Cr,0.0224,cold
8424348771,organic_search,30L-60L,0.2668,cold
6037752768,social_media,60L-90L,0.0012,cold
6753148634,referral,>1.5Cr,0.0174,cold
6632784599,paid_search,90L-1.5Cr,0.9629,hot
7940044716,organic_search,60L-90L,0.9941,hot
7908458224,organic_search,30L-60L,0.0023,cold
9623393711,social_media,90L-1.5Cr,0.0139,cold
8813002035,organic_search,>1.5Cr,0.4902,warm
8450001352,referral,>1.5Cr,0.9964,hot
8834264863,social_media,30L-60L,0.0072,cold
7967930212,paid_search,<30L,0.1992,cold
6837715870,paid_search,90L-1.5Cr,0.0081,cold
7519122388,direct,30L-60L,0.9332,hot
8553985773,social_media,>1.5Cr,0.002,cold
8611974708,organic_search,60L-90L,0.0999,cold
8857601307,social_media,60L-90L,0.0529,cold
9596294345,organic_search,60L-90L,0.0146,cold
7401011666,paid_search,30L-60L,0.0085,cold
8242521380,direct,60L-90L,0.996,hot
8337459187,referral,60L-90L,0.0058,cold
9923383873,social_media,30L-60L,0.0062,cold
8217651190,paid_search,90L-1.5Cr,0.1706,cold
9892505226,organic_search,90L-1.5Cr,0.1042,cold
7120455106,organic_search,60L-90L,0.0223,cold
9169310497,paid_search,60L-90L,0.0008,cold
9637203553,social_media,60L-90L,0.2175,cold
8827928784,paid_search,<30L,0.0026,cold
6535117946,paid_search,30L-60L,0.0035,cold
8277934159,organic_search,30L-60L,0.0135,cold
8884844659,direct,90L-1.5Cr,0.378,cold
6236175912,paid_search,60L-90L,0.007,cold
7260867128,paid_search,60L-90L,0.0286,cold
8459435577,social_media,30L-60L,0.0057,cold
9462805572,social_media,60L-90L,0.0171,cold
9604230023,email_campaign,60L-90L,0.0011,cold
8401649757,paid_search,60L-90L,0.0228,cold
8129721627,social_media,<30L,0.0145,cold
7486245168,email_campaign,30L-60L,0.039,cold
6401220883,organic_search,60L-90L,0.0051,cold
7583627114,social_media,90L-1.5Cr,0.6997,warm
6381612297,referral,90L-1.5Cr,0.9167,hot
6045633457,organic_search,30L-60L,0.9892,hot
6570259265,organic_search,>1.5Cr,0.0427,cold
6398797656,social_media,>1.5Cr,0.0322,cold
7101024269,organic_search,30L-60L,0.9945,hot
6537040319,paid_search,<30L,0.9075,hot
6549714973,paid_search,60L-90L,0.007,cold
8071455502,organic_search,90L-1.5Cr,0.002,cold
9697468743,paid_search,60L-90L,0.0246,cold
7056379266,referral,30L-60L,0.7635,hot
6230203969,social_media,30L-60L,0.0084,cold
8991171000,social_media,30L-60L,0.9701,hot
6719916938,organic_search,60L-90L,0.0006,cold
6897024670,organic_search,30L-60L,0.9053,hot
6983545324,direct,60L-90L,0.0081,cold
6053503310,direct,>1.5Cr,0.0065,cold
9129225866,email_campaign,60L-90L,0.0451,cold
9479727931,social_media,30L-60L,0.0012,cold
6419999828,paid_search,90L-1.5Cr,0.6123,warm
8114580667,organic_search,60L-90L,0.0039,cold
9597821996,email_campaign,60L-90L,0.974,hot
6652603355,organic_search,60L-90L,0.0787,cold
7513207705,organic_search,30L-60L,0.8962,hot
7789783127,organic_search,60L-90L,0.0013,cold
6432488857,paid_search,60L-90L,0.2647,cold
9847914012,paid_search,60L-90L,0.0261,cold
9154824968,paid_search,<30L,0.0113,cold
9933273721,direct,90L-1.5Cr,0.0029,cold
8823929204,organic_search,60L-90L,0.1817,cold
7899500626,direct,90L-1.5Cr,0.9915,hot
9246225420,email_campaign,>1.5Cr,0.007,cold
6377830803,social_media,<30L,0.0236,cold
6306651327,social_media,90L-1.5Cr,0.0025,cold
6241992939,paid_search,60L-90L,0.0786,cold
8135717057,email_campaign,60L-90L,0.9676,hot
6472487842,referral,60L-90L,0.0069,cold
6437314232,organic_search,90L-1.5Cr,0.0113,cold
6266793815,referral,60L-90L,0.0067,cold
7131273587,organic_search,60L-90L,0.0206,cold
9482669262,organic_search,30L-60L,0.7185,hot
8554416673,email_campaign,30L-60L,0.0473,cold
8539471941,paid_search,60L-90L,0.0052,cold
7825628169,social_media,60L-90L,0.0013,cold
6114445742,paid_search,60L-90L,0.0629,cold
7525383550,social_media,60L-90L,0.0077,cold
7924300098,referral,30L-60L,0.0078,cold
8129398412,social_media,<30L,0.0034,cold
9138873061,organic_search,90L-1.5Cr,0.0013,cold
8832210275,social_media,>1.5Cr,0.0107,cold
8710791495,direct,60L-90L,0.0333,cold
9778477597,referral,30L-60L,0.005,cold
9356025595,organic_search,90L-1.5Cr,0.9963,hot
7167377202,paid_search,30L-60L,0.4986,warm
8723109767,social_media,60L-90L,0.0012,cold
7534297997,email_campaign,60L-90L,0.0012,cold
6741608025,social_media,60L-90L,0.0005,cold
6089806819,social_media,30L-60L,0.9934,hot
9060832305,direct,30L-60L,0.0068,cold
8160436178,organic_search,30L-60L,0.9056,hot
8567504824,paid_search,60L-90L,0.0261,cold
6939172096,paid_search,>1.5Cr,0.9978,hot
9289188333,referral,>1.5Cr,0.0021,cold
6716621278,email_campaign,>1.5Cr,0.0535,cold
9349242324,paid_search,90L-1.5Cr,0.8763,hot
7701053906,referral,60L-90L,0.1691,cold
8773618535,referral,90L-1.5Cr,0.9998,hot
8884569995,direct,60L-90L,0.0793,cold
6314908840,direct,60L-90L,0.9996,hot
9602636995,referral,90L-1.5Cr,0.9924,hot
7723336363,organic_search,60L-90L,0.0061,cold
9023157592,organic_search,>1.5Cr,0.0038,cold
9159328981,organic_search,30L-60L,0.0103,cold
7212863769,social_media,30L-60L,0.0348,cold
9864682239,email_campaign,30L-60L,0.1635,cold
7667778531,paid_search,30L-60L,0.1101,cold
8155330579,organic_search,60L-90L,0.9795,hot
6397235832,paid_search,30L-60L,0.0092,cold
7223668975,paid_search,60L-90L,0.0071,cold
8196713790,paid_search,60L-90L,0.158,cold
6071716230,referral,30L-60L,0.9407,hot
9486960079,organic_search,90L-1.5Cr,0.0022,cold
8834643342,social_media,60L-90L,0.3336,cold
8685280499,email_campaign,60L-90L,0.003,cold
6582171793,paid_search,60L-90L,0.0022,cold
6336676655,paid_search,30L-60L,0.0029,cold
8897478692,referral,90L-1.5Cr,0.0189,cold
8876779703,paid_search,90L-1.5Cr,0.0054,cold
6119409250,paid_search,30L-60L,0.0258,cold
8524959123,referral,90L-1.5Cr,0.0014,cold
6011977714,organic_search,90L-1.5Cr,0.0012,cold
6963886886,organic_search,30L-60L,0.0059,cold
7047518323,organic_search,90L-1.5Cr,0.8869,hot
7745987454,organic_search,90L-1.5Cr,0.0112,cold
9889776073,direct,>1.5Cr,0.0161,cold
8163802466,direct,60L-90L,0.0407,cold
6841683481,referral,30L-60L,0.0046,cold
9200917955,paid_search,30L-60L,0.6885,warm
9124615102,organic_search,90L-1.5Cr,0.8108,hot
9306232590,referral,90L-1.5Cr,0.0163,cold
7539274353,paid_search,30L-60L,0.2096,cold
7660906532,social_media,>1.5Cr,0.0006,cold
7060728453,paid_search,30L-60L,0.3695,cold
8926998578,organic_search,>1.5Cr,0.0029,cold
9699533673,organic_search,>1.5Cr,0.0141,cold
8281577007,paid_search,>1.5Cr,0.12,cold
6040815825,social_media,<30L,0.9985,hot
6865710486,email_campaign,<30L,0.007,cold
6944326606,email_campaign,30L-60L,0.9896,hot
8403436085,organic_search,>1.5Cr,0.0467,cold
9462942202,paid_search,30L-60L,0.0046,cold
9322336171,email_campaign,90L-1.5Cr,0.0336,cold
7751575852,referral,<30L,0.001,cold
8207790534,organic_search,90L-1.5Cr,0.0774,cold
6018768421,referral,<30L,0.9979,hot
6038859529,referral,60L-90L,0.0101,cold
8282220529,organic_search,60L-90L,0.0818,cold
9735436750,social_media,90L-1.5Cr,0.1464,cold
8605980119,organic_search,<30L,0.0227,cold
6002290733,direct,30L-60L,0.2375,cold
6958155056,paid_search,30L-60L,0.0075,cold
9272537642,direct,>1.5Cr,0.1265,cold
7956645619,email_campaign,90L-1.5Cr,0.017,cold
7073436921,paid_search,30L-60L,0.0149,cold
7473834684,direct,30L-60L,0.0121,cold
9112947914,paid_search,90L-1.5Cr,0.0705,cold
9312910385,direct,60L-90L,0.065,cold
9274928872,referral,30L-60L,0.0286,cold
7099008386,organic_search,30L-60L,0.0292,cold
9478688765,organic_search,>1.5Cr,0.2236,cold
9346652085,paid_search,90L-1.5Cr,0.03,cold
7324892839,social_media,30L-60L,0.012,cold
9655201992,paid_search,30L-60L,0.0394,cold
7880101215,paid_search,30L-60L,0.9757,hot
7283511148,social_media,30L-60L,0.0011,cold
6947728297,direct,<30L,0.9664,hot
9615866168,email_campaign,60L-90L,0.5161,warm
8195268379,social_media,60L-90L,0.0015,cold
6770958714,organic_search,60L-90L,0.0005,cold
6289364588,direct,60L-90L,0.0591,cold
9452113600,direct,30L-60L,0.0798,cold
6960109280,organic_search,30L-60L,0.0246,cold
6254889299,paid_search,60L-90L,0.1267,cold
7683441290,paid_search,90L-1.5Cr,0.0249,cold
6723353447,email_campaign,30L-60L,0.0068,cold
9720115649,direct,90L-1.5Cr,0.5944,warm
8276811672,organic_search,60L-90L,0.9908,hot
6214037802,paid_search,30L-60L,0.9708,hot
7063386751,social_media,90L-1.5Cr,0.0079,cold
6270940054,paid_search,90L-1.5Cr,0.0183,cold
7951501460,direct,30L-60L,0.9458,hot
7229974781,direct,60L-90L,0.0343,cold
6826000300,organic_search,30L-60L,0.0114,cold
8645689350,paid_search,60L-90L,0.6181,warm
8665423432,paid_search,30L-60L,0.8896,hot
8790774203,email_campaign,60L-90L,0.092,cold
8587646074,email_campaign,30L-60L,0.9826,hot
6825441942,referral,60L-90L,0.0502,cold
9436236405,paid_search,>1.5Cr,0.0097,cold
8583825485,email_campaign,60L-90L,0.0038,cold
6342117608,social_media,30L-60L,0.003,cold
6749581402,paid_search,90L-1.5Cr,0.1168,cold
8234439129,organic_search,30L-60L,0.014,cold
7845067453,organic_search,>1.5Cr,0.491,warm
6896289638,organic_search,60L-90L,0.1343,cold
8023545802,referral,90L-1.5Cr,0.0002,cold
9318165126,paid_search,90L-1.5Cr,0.0373,cold
9675748906,organic_search,30L-60L,0.9442,hot
6816104726,organic_search,<30L,0.0315,cold
8638272709,paid_search,90L-1.5Cr,0.0638,cold
7672426159,organic_search,<30L,0.0015,cold
8179400161,organic_search,<30L,0.3492,cold
8313710066,direct,>1.5Cr,0.0498,cold
6885805254,organic_search,90L-1.5Cr,0.0089,cold
6857997112,organic_search,30L-60L,0.016,cold
7844609485,social_media,60L-90L,0.0042,cold
6765484528,social_media,30L-60L,0.0038,cold
7894476091,direct,30L-60L,0.1346,cold
9156535380,social_media,60L-90L,0.0492,cold
8602016625,paid_search,90L-1.5Cr,0.0017,cold
7604432838,organic_search,60L-90L,0.0444,cold
8309192427,direct,60L-90L,0.0249,cold
6400076237,organic_search,30L-60L,0.0376,cold
6673298127,organic_search,60L-90L,0.9995,hot
9267423954,paid_search,60L-90L,0.1542,cold
7657690994,referral,90L-1.5Cr,0.0031,cold
9925141647,paid_search,>1.5Cr,0.947,hot
8264390719,direct,90L-1.5Cr,0.3596,cold
7631141113,organic_search,60L-90L,0.006,cold
6505449578,organic_search,30L-60L,0.982,hot
9792542119,paid_search,60L-90L,0.0027,cold
7422509858,direct,<30L,0.4695,warm
6735026671,organic_search,30L-60L,0.0136,cold
7595721879,organic_search,>1.5Cr,0.0065,cold
6455910450,direct,>1.5Cr,0.001,cold
6023541353,referral,60L-90L,0.0519,cold
6391809682,organic_search,90L-1.5Cr,0.0164,cold
6451101961,referral,<30L,0.0038,cold
7686794995,organic_search,30L-60L,0.0007,cold
8090480789,organic_search,30L-60L,0.0124,cold
9033734342,direct,90L-1.5Cr,0.0202,cold
9986011003,email_campaign,>1.5Cr,0.0014,cold
8665119505,organic_search,90L-1.5Cr,0.0129,cold
9052629386,direct,<30L,0.0802,cold
9447783291,direct,30L-60L,0.9946,hot
6560787289,organic_search,30L-60L,0.0806,cold
8004235164,referral,60L-90L,0.2032,cold
9596630790,direct,<30L,0.0054,cold
9235378407,email_campaign,60L-90L,0.0069,cold
8423827550,referral,30L-60L,0.0044,cold
6987126819,social_media,30L-60L,0.0022,cold
9398421550,email_campaign,30L-60L,0.015,cold
6377197175,social_media,90L-1.5Cr,0.0155,cold
8509743449,social_media,30L-60L,0.0054,cold
8363272712,social_media,>1.5Cr,0.022,cold
9258973190,social_media,30L-60L,0.0028,cold
9922958991,organic_search,>1.5Cr,0.2542,cold
7969557929,direct,>1.5Cr,0.0009,cold
6684465957,paid_search,<30L,0.714,hot
9256153014,social_media,30L-60L,0.0006,cold
7159407481,organic_search,90L-1.5Cr,0.0028,cold
9945354228,social_media,60L-90L,0.0506,cold
9904348777,organic_search,30L-60L,0.985,hot
7368702912,paid_search,90L-1.5Cr,0.0003,cold
9366348511,direct,60L-90L,0.0005,cold
6210391491,organic_search,30L-60L,0.0261,cold
9060284991,organic_search,60L-90L,0.9978,hot
8576727463,organic_search,60L-90L,0.2264,cold
9628251700,paid_search,90L-1.5Cr,0.2775,cold
9667649777,social_media,90L-1.5Cr,0.0208,cold
6759297514,organic_search,60L-90L,0.0011,cold
6429320967,organic_search,30L-60L,0.0543,cold
8035586894,referral,30L-60L,0.0024,cold
8389191077,social_media,30L-60L,0.0017,cold
6089247669,direct,60L-90L,0.0197,cold
7908667703,paid_search,30L-60L,0.0249,cold
7399466959,organic_search,60L-90L,1e-04,cold
6316840886,direct,<30L,0.0289,cold
9684678715,paid_search,30L-60L,0.9339,hot
9686921697,social_media,30L-60L,0.0696,cold
9820785475,social_media,60L-90L,0.0391,cold
7212399478,social_media,30L-60L,0.0108,cold
6227289004,paid_search,>1.5Cr,0.0057,cold
7511291834,email_campaign,90L-1.5Cr,0.9978,hot
7862121913,organic_search,>1.5Cr,0.002,cold
9978940325,email_campaign,60L-90L,0.0181,cold
9736979488,organic_search,30L-60L,0.0374,cold
7626840477,referral,60L-90L,0.0239,cold
7961615722,paid_search,>1.5Cr,0.0034,cold
9646577645,referral,30L-60L,0.1475,cold
6954153456,social_media,60L-90L,0.0043,cold
9577283084,paid_search,30L-60L,0.0051,cold
7021681512,social_media,<30L,0.0138,cold
7515810671,paid_search,60L-90L,0.0064,cold
8131317570,organic_search,30L-60L,0.0031,cold
7878646196,direct,30L-60L,0.7098,hot
6091061879,organic_search,90L-1.5Cr,0.0292,cold
9658156087,social_media,>1.5Cr,0.9033,hot
6989780177,social_media,>1.5Cr,0.0038,cold
8205375341,organic_search,30L-60L,0.0015,cold
9509473750,social_media,90L-1.5Cr,0.0577,cold
7726144877,social_media,60L-90L,0.0107,cold
9124228330,paid_search,30L-60L,0.0321,cold
9388465539,organic_search,60L-90L,0.0083,cold
8873231522,organic_search,60L-90L,0.513,warm
6662414792,social_media,30L-60L,0.0014,cold
9787147853,paid_search,90L-1.5Cr,0.0012,cold
9637983193,direct,60L-90L,0.15,cold
8309613871,social_media,<30L,0.0011,cold
9386510938,organic_search,30L-60L,0.0002,cold
8050182834,direct,90L-1.5Cr,0.0259,cold
9427096172,social_media,90L-1.5Cr,0.0329,cold
7164192490,referral,>1.5Cr,0.9939,hot
7261920010,paid_search,30L-60L,0.0053,cold
9177013051,paid_search,<30L,0.9842,hot
7269719640,organic_search,30L-60L,0.003,cold
7725213312,direct,>1.5Cr,0.1535,cold
8974802741,organic_search,60L-90L,0.0627,cold
8606226730,referral,60L-90L,0.0693,cold
9637397486,paid_search,<30L,0.0043,cold
7665284826,paid_search,>1.5Cr,0.4171,warm
8591892102,direct,>1.5Cr,0.0042,cold
